meta_review	first_author_meta	year_meta	Link_MA	amstar	amstar_rank	intervention_type	intervention_general	intervention_precise	intervention_comment	intervention_label	duration_month	dose	dose_unit	setting	sett_home	sett_clin	sett_class	intervention_imp	parent_imp	prof_imp	tech_imp	outcome_general	outcome_precise	outcome_type	outcome_measure	outcome_test	outcome_observation	outcome_report	link_cct	author	year	design	measure	n_cases	n_controls	multiple_es	reverse_es	value	se	ci_lo	ci_up	mean_cases	sd_cases	mean_controls	sd_controls	mean_change_cases	sd_change_cases	mean_change_controls	sd_change_controls	n_cases_exp	n_exp	n_cases_nexp	n_nexp	n_controls_exp	n_controls_nexp	rob	design_num	low_RoB_num	random_num	attrition_num	reporting_num	blinding_num	RoB_SeqGen	RoB_Conceal	RoB_BlindPers	RoB_BlindOut	RoB_Attrition	RoB_Reporting	type_comp	active_controls	perc_female	mean_age	mean_IQ	available_age	available_IQ	available_control	available_rob	country	continent	diagnostic_criteria	AMS_1_PICO	AMS_2_protocol	AMS_3_selection	AMS_4_search	AMS_5_screening_duplicate	AMS_6_extraction_duplicate	AMS_7_excluded	AMS_8_description	AMS_9_RoB	AMS_10_funding_primary	AMS_11_stat	AMS_12_MA_RoB	AMS_13_interpreting_RoB	AMS_14_heterogeneity	AMS_15_publication_bias	AMS_16_CoI	n_tot	id_row	paper	trial_id	Duration_cct	IQ_cct	Age_cct	min_age_meta	max_age_meta	min_IQ_meta	max_IQ_meta	n_cct_intervention	n_outcome_intervention	outcome_intervention	n_meta_intervention	meta_intervention	URL_meta	min_age_intervention	max_age_intervention	min_IQ_intervention	max_IQ_intervention
Keller (2021)	Keller	2021	https://doi.org/10.3390/nu13020470	3.0	Low	Complementary	DIET	GFCF	Gluten & Casein Free Diet	Gluten & Casein Free Diet	1.38089758	7	day/week	Home	100	0	0			100		Overall ASD symptoms	Overall ASD symptoms	Observation		0	100	0	10.1007/s10803-006-0079-0	Elder	2006	RCT	SMD	7	7		reverse	0.26		-0.79	1.31	33,6	8,6	31,2	8,7											low	100	100	0	100	100	100	unclear	low	low	low	low	low	No intervention ()	0	20	7.3		1	0	1	1	USA	North America	DSM	1	1	1	0.0	0.0	1	1.0	0.5	1.0	0	1	1	1	1	1	1	14	1	Keller (2021)	Elder_2006	< 2 months		6-12 yo	6.760303	8.9	Inf	-Inf	9	5	Overall ASD symptoms | Adverse events | Social-communication | Global cognition (IQ) | Restricted/repetitive behaviors	2	Keller (2021) | Yu (2022)	https://doi.org/10.3390/nu13020470 | https://doi.org/10.3389/fneur.2022.844117	3.306818	8.954839	101	101
Keller (2021)	Keller	2021	https://doi.org/10.3390/nu13020470	3.0	Low	Complementary	DIET	GFCF	Gluten & Casein Free Diet	Gluten & Casein Free Diet	6	7	day/week	Home	100	0	0			100		Overall ASD symptoms	Overall ASD symptoms	Observation	ECO scale	0	100	0	10.1007/s10803-019-04333-1	Gonzalez-Domenech	2020	RCT	SMD	15	16		reverse	-0.31		-1.02	0.4	54,9	20,9	62,9	28,9											high	100	0	100	0	100	0	low	unclear	high	high	high	low	No intervention ()	0	46	8.9		1	0	1	1	Spain	Europe	ICD	1	1	1	0.0	0.0	1	1.0	0.5	1.0	0	1	1	1	1	1	1	31	2	Keller (2021)	Gonzalez-Domenech_2020	2-6 months		6-12 yo	6.760303	8.9	Inf	-Inf	9	5	Overall ASD symptoms | Adverse events | Social-communication | Global cognition (IQ) | Restricted/repetitive behaviors	2	Keller (2021) | Yu (2022)	https://doi.org/10.3390/nu13020470 | https://doi.org/10.3389/fneur.2022.844117	3.306818	8.954839	101	101
Keller (2021)	Keller	2021	https://doi.org/10.3390/nu13020470	3.0	Low	Complementary	DIET	GFCF	Gluten & Casein Free Diet	Gluten & Casein Free Diet	12	7	day/week	Home	100	0	0			100		Overall ASD symptoms	Overall ASD symptoms	Observation		0	100	0	10.1080/10284150290028945	Knivsberg	2002	RCT	SMD	10	10		reverse	-1.37		-2.36	-0.37	5,6	2,4	11,2	5											high	100	0	0	100	100	0	unclear	unclear	high	high	low	low	No intervention ()	0		7.375		1	0	1	1	Norway	Europe		1	1	1	0.0	0.0	1	1.0	0.5	1.0	0	1	1	1	1	1	1	20	3	Keller (2021)	Knivsberg_2002	7-12 months		6-12 yo	6.760303	8.9	Inf	-Inf	9	5	Overall ASD symptoms | Adverse events | Social-communication | Global cognition (IQ) | Restricted/repetitive behaviors	2	Keller (2021) | Yu (2022)	https://doi.org/10.3390/nu13020470 | https://doi.org/10.3389/fneur.2022.844117	3.306818	8.954839	101	101
Keller (2021)	Keller	2021	https://doi.org/10.3390/nu13020470	3.0	Low	Complementary	DIET	GFCF	Gluten & Casein Free Diet	Gluten & Casein Free Diet	12	7	day/week	Home	100	0	0			100		Overall ASD symptoms	Overall ASD symptoms	Report	ATEC: Autism Treatment Evaluation Checklist	0	0	100	10.1179/147683010X12611460763922	Whiteley	2010	RCT	SMD	26	29		reverse	-0.01		-0.54	0.52	0,0168	0,5221	0,0252	0,6572											high	100	0	0	100	0	100	unclear	unclear	high	low	low	high	No intervention ()	0	11	6.760303		1	0	1	1	Denmark	Europe	ICD	1	1	1	0.0	0.0	1	1.0	0.5	1.0	0	1	1	1	1	1	1	55	4	Keller (2021)	Whiteley_2010	7-12 months		6-12 yo	6.760303	8.9	Inf	-Inf	9	5	Overall ASD symptoms | Adverse events | Social-communication | Global cognition (IQ) | Restricted/repetitive behaviors	2	Keller (2021) | Yu (2022)	https://doi.org/10.3390/nu13020470 | https://doi.org/10.3389/fneur.2022.844117	3.306818	8.954839	101	101
Keller (2021)	Keller	2021	https://doi.org/10.3390/nu13020470	3.0	Low	Complementary	DIET	GFCF	Gluten & Casein Free Diet	Gluten & Casein Free Diet	3			Home	100	0	0			100		Adverse events				0	0	0		Johnson	2011	RCT	RR	8	14	outcomes		1.88888888888889	0.27055982	1.11148979205757	3.21001709603025															high	100	0	0	0	0	100	unclear	unclear	high	low	high	high	No intervention ()	0	22	3.306818		1	0	1	1			DSM	1	1	1	0.0	0.0	1	1.0	0.5	1.0	0	1	1	1	1	1	1	22	5	Keller (2021)	Johnson_2011	2-6 months		< 6 yo	3.306818	6.760303	Inf	-Inf	9	5	Overall ASD symptoms | Adverse events | Social-communication | Global cognition (IQ) | Restricted/repetitive behaviors	2	Keller (2021) | Yu (2022)	https://doi.org/10.3390/nu13020470 | https://doi.org/10.3389/fneur.2022.844117	3.306818	8.954839	101	101
Keller (2021)	Keller	2021	https://doi.org/10.3390/nu13020470	3.0	Low	Complementary	DIET	GFCF	Gluten & Casein Free Diet	Gluten & Casein Free Diet	12	7	day/week	Home	100	0	0			100		Adverse events				0	0	0	10.1179/147683010X12611460763922	Whiteley	2010	RCT	RR	38	34	outcomes		0.897435897435897	1.98640065	0.0182884179351727	44.0383193812315															high	100	0	0	100	0	100	unclear	unclear	high	low	low	high	No intervention ()	0	11	6.760303		1	0	1	1	Denmark	Europe	ICD	1	1	1	0.0	0.0	1	1.0	0.5	1.0	0	1	1	1	1	1	1	72	6	Keller (2021)	Whiteley_2010	7-12 months		6-12 yo	3.306818	6.760303	Inf	-Inf	9	5	Overall ASD symptoms | Adverse events | Social-communication | Global cognition (IQ) | Restricted/repetitive behaviors	2	Keller (2021) | Yu (2022)	https://doi.org/10.3390/nu13020470 | https://doi.org/10.3389/fneur.2022.844117	3.306818	8.954839	101	101
Keller (2021)	Keller	2021	https://doi.org/10.3390/nu13020470	3.0	Low	Complementary	DIET	GFCF	Gluten & Casein Free Diet	Gluten & Casein Free Diet	3			Home	100	0	0			100		Adverse events				0	0	0		Johnson	2011	RCT	RR	8	14	outcomes		1.88888888888889	0.27055982	1.11148979205757	3.21001709603025															high	100	0	0	0	0	100	unclear	unclear	high	low	high	high	No intervention ()	0	22	3.306818		1	0	1	1			DSM	1	1	1	0.0	0.0	1	1.0	0.5	1.0	0	1	1	1	1	1	1	22	7	Keller (2021)	Johnson_2011	2-6 months		< 6 yo	3.306818	6.760303	Inf	-Inf	9	5	Overall ASD symptoms | Adverse events | Social-communication | Global cognition (IQ) | Restricted/repetitive behaviors	2	Keller (2021) | Yu (2022)	https://doi.org/10.3390/nu13020470 | https://doi.org/10.3389/fneur.2022.844117	3.306818	8.954839	101	101
Keller (2021)	Keller	2021	https://doi.org/10.3390/nu13020470	3.0	Low	Complementary	DIET	GFCF	Gluten & Casein Free Diet	Gluten & Casein Free Diet	12	7	day/week	Home	100	0	0			100		Adverse events				0	0	0	10.1179/147683010X12611460763922	Whiteley	2010	RCT	RR	38	34	outcomes		0.897435897435897	1.98640065	0.0182884179351727	44.0383193812315															high	100	0	0	100	0	100	unclear	unclear	high	low	low	high	No intervention ()	0	11	6.760303		1	0	1	1	Denmark	Europe	ICD	1	1	1	0.0	0.0	1	1.0	0.5	1.0	0	1	1	1	1	1	1	72	8	Keller (2021)	Whiteley_2010	7-12 months		6-12 yo	3.306818	6.760303	Inf	-Inf	9	5	Overall ASD symptoms | Adverse events | Social-communication | Global cognition (IQ) | Restricted/repetitive behaviors	2	Keller (2021) | Yu (2022)	https://doi.org/10.3390/nu13020470 | https://doi.org/10.3389/fneur.2022.844117	3.306818	8.954839	101	101
Keller (2021)	Keller	2021	https://doi.org/10.3390/nu13020470	3.0	Low	Complementary	DIET	GFCF	Gluten & Casein Free Diet	Gluten & Casein Free Diet	3			Home	100	0	0			100		Adverse events				0	0	0		Johnson	2011	RCT	RR	8	14	outcomes		2.33333333333333	0.62201669	0.689469754442226	7.89656748445615															high	100	0	0	0	0	100	unclear	unclear	high	low	high	high	No intervention ()	0	22	3.306818		1	0	1	1			DSM	1	1	1	0.0	0.0	1	1.0	0.5	1.0	0	1	1	1	1	1	1	22	9	Keller (2021)	Johnson_2011	2-6 months		< 6 yo	3.306818	6.760303	Inf	-Inf	9	5	Overall ASD symptoms | Adverse events | Social-communication | Global cognition (IQ) | Restricted/repetitive behaviors	2	Keller (2021) | Yu (2022)	https://doi.org/10.3390/nu13020470 | https://doi.org/10.3389/fneur.2022.844117	3.306818	8.954839	101	101
Yu (2022)	Yu	2022	https://doi.org/10.3389/fneur.2022.844117	4.5	Low	Complementary	DIET	DIET	Gluten & Casein Free Diet	Gluten & Casein Free Diet	1.38089758	7	day/week	Home	100	0	0			100		Overall ASD symptoms	clinician-reported core symptoms	Observation	CARS: Childhood Autism Rating Scale	0	100	0	10.1007/s10803-006-0079-0	Elder	2006	RCT	SMD	7	7		reverse	0.26		-0.79	1.31	33.6	8.6	31.2	8.7											low	100	100	0	100	100	100	unclear	low	low	low	low	low	No intervention ()	0	20	7.32		1	0	1	1	USA	North America	DSM-IV	1	1	1	0.5	1.0	1	0.0	0.5	1.0	0	1	1	1	1	1	1	14	10	Yu (2022)	Elder_2006	< 2 months		6-12 yo	3.6	8.954839	101	101	9	5	Overall ASD symptoms | Adverse events | Social-communication | Global cognition (IQ) | Restricted/repetitive behaviors	2	Keller (2021) | Yu (2022)	https://doi.org/10.3390/nu13020470 | https://doi.org/10.3389/fneur.2022.844117	3.306818	8.954839	101	101
