Reference	Inclusion	Reasons_exclusion
Ameis, S. H., Kassee, C., Corbett-Dick, P., Cole, L., Dadhwal, S., Lai, M.-C., … Correll, C. U. (2018). Systematic review and guide to management of core and psychiatric symptoms in youth with autism. Acta Psychiatrica Scandinavica. doi:10.1111/acps.12918 	Excluded	Not a meta-analysis
Burns, C., Lang, R., & Ledbetter Cho, K. (2017). Meta-analysis of single-case experimental design studies involving children with or at risk of autism spectrum disorder suggests intervention is effective during first three years of life. Evidence-Based Communication Assessment and Intervention, 11(3-4), 119–123. doi:10.1080/17489539.2017.1401038 	Excluded	Comment
Charman T, Howlin P, Aldred C, et al. Research into early intervention for children with autism and related disorders: methodological and design issues. Report on a workshop funded by the Wellcome Trust, Institute of Child Health, London, UK, November 2001. Autism. 2003;7(2):217-225. doi:10.1177/1362361303007002008	Excluded	Not a meta-analysis
Classen S, Monahan M. Evidence-based review on interventions and determinants of driving performance in teens with attention deficit hyperactivity disorder or autism spectrum disorder. Traffic Inj Prev. 2013;14(2):188-193. doi:10.1080/15389588.2012.700747	Excluded	Not a meta-analysis
Cook, R., & Botting, D. (1997). Use of orthomolecular therapy for those with behavioural problems and mental handicap: A review. Complementary Therapies in Medicine, 5(4), 228–232. doi:10.1016/s0965-2299(97)80035-0 	Excluded	Not a meta-analysis
Correll CU, Cortese S, Croatto G, et al. Efficacy and acceptability of pharmacological, psychosocial, and brain stimulation interventions in children and adolescents with mental disorders: an umbrella review. World Psychiatry. 2021;20(2):244-275. doi:10.1002/wps.20881	Excluded	Not a meta-analysis of controlled studies
Correll CU, Cortese S, Croatto G, et al. Efficacy and acceptability of pharmacological, psychosocial, and brain stimulation interventions in children and adolescents with mental disorders: an umbrella review. World Psychiatry. 2021;20(2):244-275. doi:10.1002/wps.20881	Excluded	Not a meta-analysis of controlled studies
Cortese S, Wang F, Angriman M, Masi G, Bruni O. Sleep Disorders in Children and Adolescents with Autism Spectrum Disorder: Diagnosis, Epidemiology, and Management. CNS Drugs. 2020;34(4):415-423. doi:10.1007/s40263-020-00710-y	Excluded	Not a meta-analysis of controlled studies
Cuomo BM, Vaz S, Lee EAL, Thompson C, Rogerson JM, Falkmer T. Effectiveness of Sleep-Based Interventions for Children with Autism Spectrum Disorder: A Meta-Synthesis. Pharmacotherapy. 2017;37(5):555-578. doi:10.1002/phar.1920	Excluded	Not a meta-analysis of controlled studies
Dhir S, Teo WP, Chamberlain SR, Tyler K, Yücel M, Segrave RA. The Effects of Combined Physical and Cognitive Training on Inhibitory Control: A Systematic Review and Meta-Analysis. Neurosci Biobehav Rev. 2021;128:735-748. doi:10.1016/j.neubiorev.2021.07.008	Excluded	Outcome not included in the UR
Guo, S., Zhou, K. L., Dong, S., Xue, X. N., Wei, P. D., Yang, J. Y., Fu, G. B., Liu, Z. B., & Cui, X. (2021). Efficacy and safety of massage therapy for autism spectrum disorders: A protocol for systematic review and meta-analysis. Medicine, 100(19), e25874.	Excluded	Not a meta-analysis
Elliott, S. J., Marshall, D., Morley, K., Uphoff, E., Kumar, M., & Meader, N. (2021). Behavioural and cognitive behavioural therapy for obsessive compulsive disorder (OCD) in individuals with autism spectrum disorder (ASD). The Cochrane database of systematic reviews, 9(9), CD013173. https://doi.org/10.1002/14651858.CD013173.pub2	Excluded	Not a meta-analysis of controlled studies
Vaquerizo-Serrano, J., Salazar De Pablo, G., Singh, J., & Santosh, P. (2021). Catatonia in autism spectrum disorders: A systematic review and meta-analysis. European psychiatry : the journal of the Association of European Psychiatrists, 65(1), e4. https://doi.org/10.1192/j.eurpsy.2021.2259	Excluded	Not a meta-analysis of controlled studies
Jiang X, Song M, Qin W, Xiao J, Xu X, Yuan Q. Nonpharmaceutical therapy for autism spectrum disorder: A protocol for systematic review and network meta-analysis. Medicine (Baltimore). 2022;101(7):e28811. doi:10.1097/MD.0000000000028811	Excluded	Protocol
Kirkendall, N., & Palokas, M. (2017). Behavioral and/or pharmacological interventions for managing sleep disturbances in children with autism spectrum disorder. JBI Database of Systematic Reviews and Implementation Reports, 15(10), 2495–2501. doi:10.11124/jbisrir-2016-003310 	Excluded	Protocol
Lasheras2021	Excluded	Not a meta-analysis
Linden A, Best L, Elise F, et al. Benefits and harms of interventions to improve anxiety, depression, and other mental health outcomes for autistic people: A systematic review and network meta-analysis of randomised controlled trials. Autism. 2023;27(1):7-30. doi:10.1177/13623613221117931	Included	
Masi, A., Lampit, A., DeMayo, M. M., Glozier, N., Hickie, I. B., & Guastella, A. J. (2017). A comprehensive systematic review and meta-analysis of pharmacological and dietary supplement interventions in paediatric autism: moderators of treatment response and recommendations for future research. Psychological medicine, 47(7), 1323–1334.	Excluded	Mixed intervention types
Masi, A., Lampit, A., Glozier, N., Hickie, I. B., & Guastella, A. J. (2015). Predictors of placebo response in pharmacological and dietary supplement treatment trials in pediatric autism spectrum disorder: a meta-analysis. Translational psychiatry, 5(9), e640. https://doi.org/10.1038/tp.2015.143	Excluded	Not a meta-analysis of controlled studies
Maw, S. S., & Haga, C. (2018). Effectiveness of cognitive, developmental, and behavioural interventions for Autism Spectrum Disorder in preschool-aged children: A systematic review and meta-analysis. Heliyon, 4(9).	Included	
Pervin M, Ahmed HU, Hagmayer Y. Effectiveness of interventions for children and adolescents with autism spectrum disorder in high-income vs. lower middle-income countries: An overview of systematic reviews and research papers from LMIC. Front Psychiatry. 2022;13:834783. Published 2022 Aug 4. doi:10.3389/fpsyt.2022.834783	Excluded	Not a meta-analysis of controlled studies
Rosson S, de Filippis R, Croatto G, et al. Brain stimulation and other biological non-pharmacological interventions in mental disorders: An umbrella review. Neurosci Biobehav Rev. 2022;139:104743. doi:10.1016/j.neubiorev.2022.104743	Excluded	Not a meta-analysis of controlled studies
Sandbank, M., Bottema-Beutel, K., Crowley, S., Cassidy, M., Dunham, K., Feldman, J. I., Crank, J., Albarran, S. A., Raj, S., Mahbub, P., & Woynaroski, T. G. (2020). Project AIM: Autism intervention meta-analysis for studies of young children. Psychological bulletin, 146(1), 1–29.	Excluded	Updated later
Siafis, S., Çıray, O., Wu, H., Schneider-Thoma, J., Bighelli, I., Krause, M., ... & Leucht, S. (2022). Pharmacological and dietary-supplement treatments for autism spectrum disorder: a systematic review and network meta-analysis. Molecular autism, 13(1), 1-17.	Included	
Sturmey P. Treatment of psychopathology in people with intellectual and other disabilities. Can J Psychiatry. 2012;57(10):593-600. doi:10.1177/070674371205701003	Excluded	Not a meta-analysis of controlled studies
Xiong, T., Chen, H., Luo, R., & Mu, D. (2016). Hyperbaric oxygen therapy for people with autism spectrum disorder (ASD). Cochrane Database of Systematic Reviews, (10).	Excluded	Not a meta-analysis
Zhou, M. S., Nasir, M., Farhat, L. C., Kook, M., Artukoglu, B. B., & Bloch, M. H. (2021). Meta-analysis: Pharmacologic Treatment of Restricted and Repetitive Behaviors in Autism Spectrum Disorders. Journal of the American Academy of Child and Adolescent Psychiatry, 60(1), 35–45.	Included	
Abo Almaali HMM, Gelewkhan A, Mahdi ZAA. Analysis of Evidence-Based Autism Symptoms Enhancement by Acupuncture. J Acupunct Meridian Stud. 2017;10(6):375-384. doi:10.1016/j.jams.2017.09.001	Excluded	Not a meta-analysis
Abraham DA, Undela K, Narasimhan U, Rajanandh MG. Effect of L-Carnosine in children with autism spectrum disorders: a systematic review and meta-analysis of randomised controlled trials. Amino Acids. 2021;53(4):575-585. doi:10.1007/s00726-021-02960-6	Included	
Aithal S, Moula Z, Karkou V, Karaminis T, Powell J, Makris S. A Systematic Review of the Contribution of Dance Movement Psychotherapy Towards the Well-Being of Children With Autism Spectrum Disorders. Front Psychol. 2021;12:719673. Published 2021 Oct 8. doi:10.3389/fpsyg.2021.719673	Excluded	Not a meta-analysis
