paper	intervention_general	intervention_precise	outcome_general	mean_age_n	mean_IQ_n	total_n	mean_age_q10	mean_age_q15	mean_age_q20	mean_age_q25	mean_age_q50	mean_age_q75	mean_age_q85	mean_age_q90	mean_IQ_q10	mean_IQ_q15	mean_IQ_q20	mean_IQ_q25	mean_IQ_q50	mean_IQ_q75	mean_IQ_q85	mean_IQ_q90	n_cor	n_cct_intervention	n_outcome_intervention	n_meta_intervention	mean_age	mean_IQ	perc_female	duration_month	prof_imp	sett_home	sett_clin	sett_class	dose	design_num	low_RoB_num	random_num	attrition_num	reporting_num	blinding_num	available_age	available_IQ	available_control	available_rob	active_controls	n_es	author	year	intervention_type	meta_intervention	Link_MA	URL_meta	outcome_intervention	min_age_intervention	max_age_intervention	min_age_meta	max_age_meta	min_IQ_intervention	max_IQ_intervention	min_IQ_meta	max_IQ_meta	dose_unit	outcome_test	outcome_report	outcome_observation	amstar	amstar_rank	AMS_1_PICO	AMS_2_protocol	AMS_3_selection	AMS_4_search	AMS_5_screening_duplicate	AMS_6_extraction_duplicate	AMS_7_excluded	AMS_8_description	AMS_9_RoB	AMS_10_funding_primary	AMS_11_stat	AMS_12_MA_RoB	AMS_13_interpreting_RoB	AMS_14_heterogeneity	AMS_15_publication_bias	AMS_16_CoI	INTER_mean_IQ	INTER_IQ_q20	INTER_IQ_q80	Duration	IQ	IQ_precise	Intensity	Intensity_global	Age	Age_precise	PICO_amstar	PICO_amstar_precise	PICO_amstar_ID	year_meta_num	unique_meta	row_id_meta	overall_scope	IN_meta
Abraham (2021)	L-CARNO	L-CARNO	Overall ASD symptoms	3	0	137	4.2	4.2	4.2	4.2	7.45	8.59	8.59	8.59									49.4817518248175	6	5	2	6.31328467153285		30.6569343065693	1.96406642467153	100	100	0	0	441.423357664234	100	0	77.3722627737226	100	100	0	1	0	1	1	45.985401459854	1.22627737226277	Ann Abraham	2020	Complementary	Abraham (2021) | Siafis (child) (2022)	https://doi.org/10.1007/s00726-021-02960-6	https://doi.org/10.1007/s00726-021-02960-6 | https://doi.org/10.1186/s13229-022-00488-4	Overall ASD symptoms | Social-communication | Restricted/repetitive behaviors | Acceptability | Tolerability	4.2	8.92	4.2	8.59	Inf	-Inf	Inf	-Inf	mg/day	0	0	100	3.0	Critically low	1	0	1	1.0	1.0	0	0.0	0.5	1.0	0	1	1	1	1	1	1				< 2 months			other unit	other unitmg/day	6-12 yo	Mixed	L-CARNO_Overall ASD symptoms_6-12 yo	L-CARNO_Overall ASD symptoms_6-12 yo - [Mixed]	Abraham (2021) - L-CARNO_Overall ASD symptoms_6-12 yo - [Mixed]	2021	L-CARNO_Overall ASD symptoms	1	TRUE	0
Abraham (2021)	L-CARNO	L-CARNO	Restricted/repetitive behaviors	2	0	74	7.45	7.45	7.45	7.45	8.59	8.59	8.59	8.59									37.972972972973	6	5	2	8.11243243243243		29.7297297297297	1.93347432675676	100	100	0	0	625.675675675676	100	0	58.1081081081081	100	100	0	1	0	1	1	0	1	Chez	2002	Complementary	Abraham (2021) | Siafis (child) (2022)	https://doi.org/10.1007/s00726-021-02960-6	https://doi.org/10.1007/s00726-021-02960-6 | https://doi.org/10.1186/s13229-022-00488-4	Overall ASD symptoms | Social-communication | Restricted/repetitive behaviors | Acceptability | Tolerability	4.2	8.92	7.45	8.59	Inf	-Inf	Inf	-Inf	mg/day	0	100	0	3.0	Critically low	1	0	1	1.0	1.0	0	0.0	0.5	1.0	0	1	1	1	1	1	1				< 2 months			other unit	other unitmg/day	6-12 yo	Homogeneous	L-CARNO_Restricted/repetitive behaviors_6-12 yo	L-CARNO_Restricted/repetitive behaviors_6-12 yo - [Homogeneous]	Abraham (2021) - L-CARNO_Restricted/repetitive behaviors_6-12 yo - [Homogeneous]	2021	L-CARNO_Restricted/repetitive behaviors	2	TRUE	1
Abraham (2021)	L-CARNO	L-CARNO	Social-communication	2	0	74	7.45	7.45	7.45	7.45	8.59	8.59	8.59	8.59									37.972972972973	6	5	2	8.11243243243243		29.7297297297297	1.93347432675676	100	100	0	0	625.675675675676	100	0	58.1081081081081	100	100	0	1	0	1	1	0	2	Chez	2002	Complementary	Abraham (2021) | Siafis (child) (2022)	https://doi.org/10.1007/s00726-021-02960-6	https://doi.org/10.1007/s00726-021-02960-6 | https://doi.org/10.1186/s13229-022-00488-4	Overall ASD symptoms | Social-communication | Restricted/repetitive behaviors | Acceptability | Tolerability	4.2	8.92	7.45	8.59	Inf	-Inf	Inf	-Inf	mg/day	0	100	0	3.0	Critically low	1	0	1	1.0	1.0	0	0.0	0.5	1.0	0	1	1	1	1	1	1				< 2 months			other unit	other unitmg/day	6-12 yo	Homogeneous	L-CARNO_Social-communication_6-12 yo	L-CARNO_Social-communication_6-12 yo - [Homogeneous]	Abraham (2021) - L-CARNO_Social-communication_6-12 yo - [Homogeneous]	2021	L-CARNO_Social-communication	3	TRUE	0
Bakermans-Kranenburg (2013)	OXYT	OXYT	Social-communication	3	2	44	15	15	15	15	26	33	33	33	99	99	99	99	100.5	100.5	100.5	100.5	14.7727272727273	28	11	13	24.3863636363636	99.8275862068966	6.81818181818182	0.162866857954545	100	100	0	0	24	100	0	0	65.9090909090909	65.9090909090909	0	1	0.659090909090909	1	0.659090909090909	0	1	Andari	2010	Complementary	Hu (2023) | Bakermans-Kranenburg (2013) | Kiani (2023) | Cai (2018) | Keech (2018) | Ooi (2016) | Wang (2019) | Martins (2021) | Siafis (adult) (2022) | Siafis (child) (2022) | Linden (2023) | Iffland (2023) | Zhou (2021)	https://doi.org/10.1038/tp.2013.34	https://doi.org/10.1007/s00228-023-03545-w | https://doi.org/10.1038/tp.2013.34 | https://doi.org/10.2174/1871527321666220517112612 | https://doi.org/10.1111/pcn.12627 | https://doi.org/10.1016/j.psyneuen.2017.09.022 | https://doi.org/10.1055/s-0042-109400 | https://doi.org/10.1016/j.rasd.2019.03.007 | https://doi.org/10.1111/bph.15451 | https://doi.org/10.1186/s13229-022-00488-4 | https://doi.org/10.1177/13623613221117931 | https://doi.org/10.1002/14651858.CD011769.pub2 | https://doi.org/10.1016/j.jaac.2020.03.007	Social-communication | Restricted/repetitive behaviors | Anxiety | Overall ASD symptoms | Adverse events | Disruptive behaviors | Acceptability | ADHD symptoms | Quality of life | Tolerability | Mood related symptoms	5	37.5	15	33	32	111.91	99	100.5	IU/day	100	0	0	0.0	Critically low	1	0	1	0.0	0.0	0	0.0	0.5	0.0	0	1	0	0	1	1	1	87.6630879268293	83.33333	105	< 2 months	Average (80-119)	Homogeneous	other unit	other unitIU/day	>= 20 yo	Mixed	OXYT_Social-communication_>= 20 yo	OXYT_Social-communication_>= 20 yo - [Homogeneous]	Bakermans-Kranenburg (2013) - OXYT_Social-communication_>= 20 yo - [Homogeneous]	2013	OXYT_Social-communication	7	TRUE	0
Barahona-Correa (2018)	rTMS	rTMS	Disruptive behaviors	3	2	127	12.988889	12.988889	12.988889	12.988889	14.45	14.45	32.323929	32.323929	100	100	100	100	100	100	100	100	45.0787401574803	7	4	2	17.8729922598425	100	17.9	2.84153203519685	100	0	100	0	1.88188976377953	57.4803149606299	0	57.4803149606299	77.9527559055118	0	22.0472440944882	1	0.779527559055118	1	0	0	1	Casanova	2012	Complementary	Barahona-Correa (2018) | Liu (2023)	https://doi.org/10.3389/fnint.2018.00027	https://doi.org/10.3389/fnint.2018.00027 | https://doi.org/10.3389/fpsyt.2023.1147327	Restricted/repetitive behaviors | Social-communication | Disruptive behaviors | ADHD symptoms	12.988889	32.323929	12.988889	32.323929	86	102.3	100	100	session/week	0	100	0	3.0	Critically low	1	0	1	0.0	1.0	1	0.0	1.0	1.0	0	1	1	1	1	1	1	98.05	100	100	2-6 months	Average (80-119)	Homogeneous	other unit	other unitsession/week	13-19 yo	Mixed	rTMS_Disruptive behaviors_13-19 yo	rTMS_Disruptive behaviors_13-19 yo - [Homogeneous]	Barahona-Correa (2018) - rTMS_Disruptive behaviors_13-19 yo - [Homogeneous]	2018	rTMS_Disruptive behaviors	8	TRUE	0
Barahona-Correa (2018)	rTMS	rTMS	Restricted/repetitive behaviors	4	3	207	12.988889	12.988889	12.988889	14.45	14.45	20.8	20.8	32.323929	100	100	100	100	100	100	100	100	65.0676328502416	7	4	2	17.7157971835749	100	22.7363636363636	2.71065081154589	100	0	100	0	1.54106280193237	53.6231884057971	0	53.6231884057971	86.4734299516908	0	13.5265700483092	1	0.864734299516908	1	0	0	1.46376811594203	Casanova	2012	Complementary	Barahona-Correa (2018) | Liu (2023)	https://doi.org/10.3389/fnint.2018.00027	https://doi.org/10.3389/fnint.2018.00027 | https://doi.org/10.3389/fpsyt.2023.1147327	Restricted/repetitive behaviors | Social-communication | Disruptive behaviors | ADHD symptoms	12.988889	32.323929	12.988889	32.323929	86	102.3	100	100	session/week	0	100	0	3.0	Critically low	1	0	1	0.0	1.0	1	0.0	1.0	1.0	0	1	1	1	1	1	1	98.05	100	100	2-6 months	Average (80-119)	Homogeneous	other unit	other unitsession/week	13-19 yo	Mixed	rTMS_Restricted/repetitive behaviors_13-19 yo	rTMS_Restricted/repetitive behaviors_13-19 yo - [Homogeneous]	Barahona-Correa (2018) - rTMS_Restricted/repetitive behaviors_13-19 yo - [Homogeneous]	2018	rTMS_Restricted/repetitive behaviors	9	TRUE	0
Barahona-Correa (2018)	rTMS	rTMS	Social-communication	3	2	162	14.45	14.45	14.45	14.45	14.45	20.8	32.323929	32.323929	100	100	100	100	100	100	100	100	70.641975308642	7	4	2	19.0288272345679	100	22.7363636363636	2.69644404530864	100	0	100	0	1.69135802469136	40.7407407407407	0	40.7407407407407	82.7160493827161	0	17.2839506172839	1	0.827160493827161	1	0	0	1.59259259259259	Enticott	2014	Complementary	Barahona-Correa (2018) | Liu (2023)	https://doi.org/10.3389/fnint.2018.00027	https://doi.org/10.3389/fnint.2018.00027 | https://doi.org/10.3389/fpsyt.2023.1147327	Restricted/repetitive behaviors | Social-communication | Disruptive behaviors | ADHD symptoms	12.988889	32.323929	14.45	32.323929	86	102.3	100	100	session/week	0	100	0	3.0	Critically low	1	0	1	0.0	1.0	1	0.0	1.0	1.0	0	1	1	1	1	1	1	98.05	100	100	2-6 months	Average (80-119)	Homogeneous	other unit	other unitsession/week	13-19 yo	Mixed	rTMS_Social-communication_13-19 yo	rTMS_Social-communication_13-19 yo - [Mixed]	Barahona-Correa (2018) - rTMS_Social-communication_13-19 yo - [Mixed]	2018	rTMS_Social-communication	10	TRUE	1
Cai (2018)	OXYT	OXYT	Adverse events	5	5	223	13.9	13.9	13.9	22.5	24.2	24.2	32.2	32.2	32	32	32	32	100	100	105	105	49.8699551569507	28	11	13	23.5237668161435	79.6716098654709	7.17582959641256	1.97536470556054	100	100	0	0	31.8744394618834	100	100	77.5784753363229	100	100	100	1	1	1	1	0	4	Anagnostou	2012	Complementary	Hu (2023) | Bakermans-Kranenburg (2013) | Kiani (2023) | Cai (2018) | Keech (2018) | Ooi (2016) | Wang (2019) | Martins (2021) | Siafis (adult) (2022) | Siafis (child) (2022) | Linden (2023) | Iffland (2023) | Zhou (2021)	https://doi.org/10.1111/pcn.12627	https://doi.org/10.1007/s00228-023-03545-w | https://doi.org/10.1038/tp.2013.34 | https://doi.org/10.2174/1871527321666220517112612 | https://doi.org/10.1111/pcn.12627 | https://doi.org/10.1016/j.psyneuen.2017.09.022 | https://doi.org/10.1055/s-0042-109400 | https://doi.org/10.1016/j.rasd.2019.03.007 | https://doi.org/10.1111/bph.15451 | https://doi.org/10.1186/s13229-022-00488-4 | https://doi.org/10.1177/13623613221117931 | https://doi.org/10.1002/14651858.CD011769.pub2 | https://doi.org/10.1016/j.jaac.2020.03.007	Social-communication | Restricted/repetitive behaviors | Anxiety | Overall ASD symptoms | Adverse events | Disruptive behaviors | Acceptability | ADHD symptoms | Quality of life | Tolerability | Mood related symptoms	5	37.5	13.9	33.4	32	111.91	32	105	IU/day	0	0	0	3.0	Critically low	1	0	1	1.0	1.0	0	1.0	0.5	1.0	0	1	0	0	1	0	1	87.6630879268293	83.33333	105	< 2 months	Limit (70-79)	Mixed	other unit	other unitIU/day	>= 20 yo	Mixed	OXYT_Adverse events_>= 20 yo	OXYT_Adverse events_>= 20 yo - [Homogeneous]	Cai (2018) - OXYT_Adverse events_>= 20 yo - [Homogeneous]	2018	OXYT_Adverse events	15	TRUE	0
Cai (2018)	OXYT	OXYT	Disruptive behaviors	5	5	223	13.9	13.9	13.9	22.5	24.2	24.2	32.2	32.2	32	32	32	32	100	100	105	105	49.8699551569507	28	11	13	23.5237668161435	79.6716098654709	7.17582959641256	1.97536470556054	100	100	0	0	31.8744394618834	100	100	77.5784753363229	100	100	100	1	1	1	1	0	1	Anagnostou	2012	Complementary	Hu (2023) | Bakermans-Kranenburg (2013) | Kiani (2023) | Cai (2018) | Keech (2018) | Ooi (2016) | Wang (2019) | Martins (2021) | Siafis (adult) (2022) | Siafis (child) (2022) | Linden (2023) | Iffland (2023) | Zhou (2021)	https://doi.org/10.1111/pcn.12627	https://doi.org/10.1007/s00228-023-03545-w | https://doi.org/10.1038/tp.2013.34 | https://doi.org/10.2174/1871527321666220517112612 | https://doi.org/10.1111/pcn.12627 | https://doi.org/10.1016/j.psyneuen.2017.09.022 | https://doi.org/10.1055/s-0042-109400 | https://doi.org/10.1016/j.rasd.2019.03.007 | https://doi.org/10.1111/bph.15451 | https://doi.org/10.1186/s13229-022-00488-4 | https://doi.org/10.1177/13623613221117931 | https://doi.org/10.1002/14651858.CD011769.pub2 | https://doi.org/10.1016/j.jaac.2020.03.007	Social-communication | Restricted/repetitive behaviors | Anxiety | Overall ASD symptoms | Adverse events | Disruptive behaviors | Acceptability | ADHD symptoms | Quality of life | Tolerability | Mood related symptoms	5	37.5	13.9	33.4	32	111.91	32	105	IU/day	0	100	100	3.0	Critically low	1	0	1	1.0	1.0	0	1.0	0.5	1.0	0	1	0	0	1	0	1	87.6630879268293	83.33333	105	< 2 months	Limit (70-79)	Mixed	other unit	other unitIU/day	>= 20 yo	Mixed	OXYT_Disruptive behaviors_>= 20 yo	OXYT_Disruptive behaviors_>= 20 yo - [Homogeneous]	Cai (2018) - OXYT_Disruptive behaviors_>= 20 yo - [Homogeneous]	2018	OXYT_Disruptive behaviors	16	TRUE	0
Chen (2022a)	AAI	HORSE	ADHD symptoms	3	2	156	7.38	8.085	10.2	10.2	10.2	10.2	10.2	10.52	86.5	86.5	86.5	86.5	86.5	86.5	86.5	101	91.5897435897436	23	10	5	9.83179487179487	88.2575757575758	13.905325443787	2.19527307923077	100	0	100	0	0.865384615384615	100	0	100	100	100	0	1	0.846153846153846	1	1	0	1	Gabriels	2015	Complementary	Chen (2022a) | Dimolareva (2020) | Madigand (2023) | Xiao (2023) | Sandbank (2023)	https://doi.org/10.3390/ijerph192114449	https://doi.org/10.3390/ijerph192114449 | https://doi.org/10.1007/s1080 3-020-04715 -w | https://doi.org/10.1016/j.pnpbp.2023.110765 | https://doi.org/10.3390/ijerph20032630 | https://doi.org/10.1136/bmj-2023-076733	Social-communication | Disruptive behaviors | Restricted/repetitive behaviors | ADHD symptoms | Overall ASD symptoms | Language (Expressive skills) | Sensory Profile | Adaptive behaviors | Language (Overall skills) | Global cognition (IQ)	4.1	11	7.38	10.84	67	101.5	86.5	101	hour/week	0	100	0	1.0	Critically low	1	0	1	0.0	0.0	0	0.0	0.5	1.0	0	1	0	0	0	0	1	84.622641509434	70	90	2-6 months	Average (80-119)	Homogeneous	other unit	other unithour/week	6-12 yo	Homogeneous	AAI_ADHD symptoms_6-12 yo	AAI_ADHD symptoms_6-12 yo - [Homogeneous]	Chen (2022a) - AAI_ADHD symptoms_6-12 yo - [Homogeneous]	2022	HORSE_ADHD symptoms	17	FALSE	0
